Series Name,Series Code,Country Name,Country Code,"2012 [YR2012] =AVERAGE(IF(ISBLANK(2012[YR2012]:2012[YR2012]), """", 2012[YR2012]:2012[YR2012))",2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,European Union,EUU,3.47054E+11,3.7167E+11,3.89655E+11,3.48445E+11,3.57446E+11,3.95734E+11,4.31696E+11,4.3215E+11,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Fragile and conflict affected situations,FCS,23906290396,25101207073,26351211708,26018006590,27557594254,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Heavily indebted poor countries (HIPC),HPC,14148822902,14889545710,15621715576,15163804029,15777030393,16462865234,19734803845,20858320355,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,High income,HIC,8.7156E+11,9.37966E+11,9.96288E+11,9.69582E+11,9.89703E+11,1.05977E+12,1.14799E+12,1.15215E+12,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,IBRD only,IBD,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,IDA & IBRD total,IBT,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,IDA blend,IDB,7010987772,6996903200,7995200001,8152185184,7911800005,10151705392,10652993523,10859684429,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,IDA only,IDX,22364664025,24552900672,26791985092,25906385654,26758326392,28053764793,32347248555,35608230396,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,IDA total,IDA,28635139135,30741012593,33902884985,33715679043,33806058988,37443652753,42040713818,45396369607,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Late-demographic dividend,LTE,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Latin America & Caribbean,LCN,74098949813,78411113783,85047338481,88225390374,93835317531,98412826250,1.01815E+11,1.04585E+11,3456000
